title	year	budget	length	rating	votes	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	mpaa	boxoffice	actor	actress	director	writer	Short	Drama	Comedy	Documentary	Adult	Action	Romance	Thriller	Animation	Family	Crime	Horror	Music	Adventure	Fantasy	Sci-Fi	Mystery	Biography	History	Sport	Musical	Western	War	Reality-TV	News	Talk-Show	Game-Show	Film-Noir	Lifestyle	Experimental	Erotica	Commercial
Maniac	2012	6000000	89	6.1	23033	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5		38965	Wood,Elijah(I)	Vaughan,LaurenEmily	Khalfoun,Franck	Spinell,Joe	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maniac Cop	1988	1100000	88	6.0	8158	4.5	4.5	4.5	4.5	14.5	24.5	14.5	4.5	4.5	4.5		671382	Z'Dar,Robert	Washington,Alma	Lustig,William	Cohen,Larry(I)	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maniac Cop 2	1990	4000000	90	5.7	3536	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	4.5		195788	Z'Dar,Robert	Villanera,Ysobel	Lustig,William	Cohen,Larry(I)	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Manito	2002	24000	79	6.9	485	4.5	4.5	4.5	4.5	4.5	14.5	14.5	14.5	14.5	24.5		175000	Zayas,Anthony	Yates,Tiffany	Eason,Eric(I)	Eason,Eric(I)	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mannequin	1987	6000000	90	5.6	20194	4.5	4.5	4.5	14.5	14.5	24.5	14.5	4.5	4.5	4.5		497442407	Vinovich,Steve	Williams,OliviaFrances	Gottlieb,Michael(I)	Rugoff,Edward	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mannequin: On the Move	1991	13000000	95	3.9	4225	14.5	14.5	14.5	14.5	14.5	4.5	4.5	4.5	4.5	14.5		3752426	Wing,Laurie(I)	Worthington,Wendy	Raffill,Stewart	Rugoff,Edward	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Manny & Lo	1996	500000	88	6.8	1372	4.5	4.5	4.5	4.5	4.5	14.5	24.5	14.5	4.5	14.5	R	2238789	Silvers,Tyler	Zuk,Marla	Krueger,Lisa(I)	Krueger,Lisa(I)	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mansfeld	2006	6500000	118	6.5	159	4.5	4.5	4.5	4.5	14.5	14.5	24.5	14.5	4.5	24.5		12738	Újvári,Zoltán	Tanay,Bella	Szilágyi,Andor	Szilágyi,Andor	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Manslaughter	1922	385000	100	7.5	283	4.5	4.5	4.5	4.5	4.5	14.5	14.5	14.5	4.5	24.5		1200000	West,Charles(I)	Wilson,Lois(I)	DeMille,CecilB.	Miller,AliceDuer	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Manuela y Manuel	2007	700000	94	5.9	73	14.5	4.5	4.5	4.5	14.5	14.5	14.5	14.5	4.5	14.5	PG-13	2954	Warrington,Ali	Ysern,Maritere(I)	MarchandSánchez,Raúl	IgnacioValenzuela,José	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
